epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,141.688,4.25837,0.42353,0.77395,5.03615,0.000237596,0.000237596,0.000237596
2,279.081,2.36833,0.5542,0.85756,4.89839,0.000459901,0.000459901,0.000459901
3,413.333,2.0476,0.59874,0.87521,4.81073,0.000666499,0.000666499,0.000666499
4,547.078,1.75427,0.65924,0.90294,4.72885,0.000643314,0.000643314,0.000643314
5,683.236,1.53019,0.69076,0.92143,4.67958,0.000619752,0.000619752,0.000619752
6,819.734,1.26972,0.73782,0.93529,4.63979,0.00059619,0.00059619,0.00059619
7,956.172,1.15243,0.74202,0.93866,4.63193,0.000572628,0.000572628,0.000572628
8,1092.81,1.02843,0.74706,0.94538,4.61375,0.000549066,0.000549066,0.000549066
9,1229.41,0.92478,0.77773,0.9521,4.58547,0.000525504,0.000525504,0.000525504
10,1365.85,0.84854,0.79916,0.96092,4.5538,0.000501942,0.000501942,0.000501942
11,1502.51,0.7291,0.80504,0.95882,4.54635,0.00047838,0.00047838,0.00047838
12,1639.16,0.6834,0.79202,0.96471,4.55573,0.000454818,0.000454818,0.000454818
13,1775.81,0.62918,0.81429,0.95966,4.53667,0.000431256,0.000431256,0.000431256
14,1912.33,0.56888,0.80966,0.96555,4.53828,0.000407694,0.000407694,0.000407694
15,2048.74,0.51413,0.82185,0.95882,4.52245,0.000384132,0.000384132,0.000384132
16,2185.16,0.47904,0.81849,0.96261,4.51724,0.00036057,0.00036057,0.00036057
17,2321.63,0.44477,0.82941,0.96345,4.50906,0.000337008,0.000337008,0.000337008
18,2458.03,0.39934,0.82773,0.96218,4.50505,0.000313446,0.000313446,0.000313446
19,2594.35,0.35864,0.83487,0.96849,4.50068,0.000289884,0.000289884,0.000289884
20,2730.8,0.3551,0.84958,0.96849,4.48641,0.000266322,0.000266322,0.000266322
21,2891.75,0.30032,0.84832,0.96849,4.48313,0.00024276,0.00024276,0.00024276
22,3028.1,0.26627,0.85084,0.96891,4.48432,0.000219198,0.000219198,0.000219198
23,3164.49,0.25541,0.85672,0.96891,4.47818,0.000195636,0.000195636,0.000195636
24,3301,0.21384,0.84118,0.96933,4.48391,0.000172074,0.000172074,0.000172074
25,3438.11,0.20949,0.8584,0.96891,4.47198,0.000148512,0.000148512,0.000148512
26,3574.52,0.18251,0.85966,0.96933,4.46677,0.00012495,0.00012495,0.00012495
27,3710.95,0.17187,0.86975,0.97017,4.46385,0.000101388,0.000101388,0.000101388
28,3847.37,0.16634,0.86303,0.96849,4.46411,7.7826e-05,7.7826e-05,7.7826e-05
29,3983.75,0.16454,0.86681,0.97017,4.46026,5.4264e-05,5.4264e-05,5.4264e-05
30,4120.17,0.15135,0.86765,0.97101,4.45979,3.0702e-05,3.0702e-05,3.0702e-05
